Tournées;Secteur_geo;Ilôt 1;Ilôt 2;Ilôt 3;Ilôt 4;Ilôt 5;Ilôt 6;t. transport;Code Client;Ordonnancement;Envoi papier
GU01A_GUJAN MESTRAS;Bassin d'Arcachon;GU01A;;;;;;NCI5-028;LEV6587-0;;
TB01A LA TESTE;Bassin d'Arcachon;TB01A;;;;;;NCI5-028;LEV6587-0;;
GU03A_GUJAN MESTRAS;Bassin d'Arcachon;GU03B;;;;;;NCI5-011;LEV237184-0;;
GU04A_GUJAN MESTRAS;Bassin d'Arcachon;GU04A;GU03A;;;;;NCI5-011;LEV237184-0;;
GU05A_GUJAN MESTRAS;Bassin d'Arcachon;GU02A;GU05A;;;;;NCI5-012;LEV7633-0;;
HG01A_CUBZAC ST ANDRE VAL VIRVEE;Haute Gironde;HG01A;HG01C;;;;;NCI3-VCP-001;LEV21411-0;;OUI
HG02A_SAINT ANDRE DE CUBZAC;Haute Gironde;HG02A;HG01B;;;;;NCI3-VCP-002;LEV21724-0;;
HG07A_CEZAC CIVRAC;Haute Gironde;HG07A;;;;;;NCI2-VCP-001;LEV21387-0;;
HG08A_PRIGNAC ST LAURENT D ARCE;Haute Gironde;HG08A;HG08C;HG08B;;;;NCI2-VCP-002;LEV273922-0;;
HG09A_COMPS BAYON ST SEURIN;Haute Gironde;HG09A;;;;;;NCI2-VCP-012;LEV21189-0;;
HG13A_BLAYE;Haute Gironde;HG13A;;;;;;NCI2-VCP-012;LEV21189-0;;
HG10A_BOURG SUR GIRONDE TAURIAC;Haute Gironde;HG10A;;;;;;NCI3-VCP-003;LEV21738-0;;
HG11A_BERSON;Haute Gironde;HG11A;HG11B;;;;;NCI2-VCP-005;LEV233192-0;;OUI
HG14A_CARS ST MARTIN LACAUSSADE;Haute Gironde;HG14A;HG14B;;;;;NCI2-VCP-010;LEV21699-0;;
HG16A_ST CIERS SUR GIRONDE;Haute Gironde;HG16A;;;;;;NCI2-VCP-007;LEV229161-0;;
HG21A_ST CIERS SUR GIRONDE;Haute Gironde;HG21A;;;;;;NCI2-VCP-007;LEV229161-0;;
HG17A_ST SAVIN ST YZAN DE SOUDIAC;Haute Gironde;HG17A;HG17B;HG07B;;;;NCI3-VCP-004;LEV227546-0;;
HG18A_ST SAVIN ST MARIENS;Haute Gironde;HG18A;HG18B;;;;;NCI3-VCP-007;LEV211662-0;;
HG19A_CHEVANCEAUX;Haute Gironde;HG19A;;;;;;NCI3-VCP-011;LEV515869-0;;
HG20A_CARTELEGUE CAMPUGNAN EYRANS;Haute Gironde;HG20A;HG17C;;;;;NCI3-VCP-004;LEV236797;;
LA01A_LANTON;Bassin d'Arcachon;LA01A;;;;;;ME07-VCP-003;LEV6675-0;;
AN03A_ANDERNOS;Bassin d'Arcachon;AN03B;;;;;;ME07-VCP-003;LEV6675-0;;
LB01A_LE BOUSCAT;Bordeaux;LB01A;LB01B;;;;;ME99-VCPNORD-017;LEV6553-0;29/01/2026 15:25;
LB02A_LE BOUSCAT;Bordeaux;LB02A;LB02B;;;;;ME99-VCPNORD-005;LEV6397-0;29/01/2026 15:25;
LB03A_LE BOUSCAT;Bordeaux;LB03A;LB03B;;;;;ME99-VCPNORD-021;LEV7023-0;29/01/2026 15:26;
LE01A_LEGE BOURG;Bassin d'Arcachon;AN03A;;;;;;NCI5-VCPDEPOT-002;LEV300837-0;;
AR02B_ARES;Bassin d'Arcachon;AR02B;;;;;;NCI5-VCPDEPOT-002;LEV6686-0;;
LE01A_LEGE BOURG;Bassin d'Arcachon;LE01A;LE01B;;;;;NCI5-VCPDEPOT-002;LEV300837-0;;
LE02A_CAP FERRET RN;Bassin d'Arcachon;LE02A;LE02B;;;;;NCI5-VCPDEPOT-001;LEV7911-0;;OUI
LH01A_LE HAILLAN;Bordeaux;LH01A;;;;;;ME99-VCPNORD-022;LEV227026-0;20/02/2026 12:51;
LH02A_LE HAILLAN;Bordeaux;LH02A;;;;;;ME99-VCPNORD-022;LEV227026-0;20/02/2026 13:15;
LI01A_CASTILLON;Libournais;LI01A;LI01E;LI01B;LI01C;LI01D;;LI01-VCP-001;LEV20228-0;;
LI03A_PORT SAINT FOY;Libournais;LI03A;LI03B;;;;;NCI4-VCP-091;LEV542171-0;;
LI05A_PINEULH;Libournais;LI05A;;;;;;NCI4-VCP-092;LEV325658-0;;
LI06A_LIBOURNE PINTEY ROUDET;Libournais;LI06A;LI06B;LI06C;;;;LI99-004;LEV20293-0;;
LI07A_LIBOURNE;Libournais;LI07A;LI07B;;;;;LI99-009;LEV569712-0;;
LI09A_ST MAGNE DE CASTILLON;Libournais;LI09A;LI09B;LI09C;LI09D;LI09E;;LI99-006;LEV20465-0;;
LI10A_LIBOURNE;Libournais;LI10A;LI10B;;;;;LI99-007;LEV20588-0;;
LI11A_ST DENIS DE PILE LES BILAUX;Libournais;LI11A;;;;;;LI99-008;LEV28742-0;;
LI12A_LIBOURNE;Libournais;LI12A;LI12B;;;;;LI99-011;LEV20391-0;;
LI13A_COUTRAS;Libournais;LI13A;;;;;;LI03-VCP-006;LEV20060-0;;
LI14A_LES EGLISOTTES (Poste);Libournais;LI14A;;;;;;LI03-VCP-002;;;
LI15A_LES PEINTURES CHAMADELLE;Libournais;LI15A;LI20A;;;;;LI03-VCP-007;LEV24894-0;;
LI16A_ST SEURIN SUR L ISLE;Libournais;LI16A;LI16B;;;;;LI03-VCP-005;LEV637551-0;;
LI25A_GALGON FRONSAC;Libournais;LI25A;;;;;;LI02-000;LEV626988-0;;
LO01A_LORMONT;Bordeaux;LO01A;;;;;;BE99-VCPBE-193;LEV2299-0;;
LO02A_LORMONT;Bordeaux;LO02A;;;;;;BE99-VCPBE-193;LEV2299-0;;
LO03A_LORMONT;Bordeaux;LO03A;;;;;;BE99-VCPBE-193;LEV2299-0;;
LT01A_LE TAILLAN;Bordeaux;LT01A;;;;;;ME99-VCPNORD-023;LEV6671-0;;
MA01A_MARCHEPRIME;Bassin d'Arcachon;MA01A;;;;;;NCI5-VCPDEPOT-010;LEV203610-0;;
ME03A_MERIGNAC;Bordeaux;ME03A;ME03B;ME03C;ME03D;;;ME99-VCPOUEST-017;LEV6354-0;;
ME04A_MERIGNAC;Bordeaux;ME04A;ME04B;ME04C;;;;ME99-VCPOUEST-018;LEV7512-0;;
ME05A_MERIGNAC;Bordeaux;ME05A;ME05B;;;;;ME99-VCPOUEST-020;LEV5665-0;;
ME06A_MERIGNAC;Bordeaux;ME06A;;;;;;ME99-VCPOUEST-022;LEV7758-0;;
ME09A_MERIGNAC;Bordeaux;ME09A;ME09B;;;;;ME99-VCPOUEST-022;LEV7758-0;;
ME07A_MERIGNAC;Bordeaux;ME07A;ME07B;ME07C;;;;ME99-VCPOUEST-023;LEV6637-1;;
ME08A_MERIGNAC;Bordeaux;ME08A;ME08B;;;;;ME99-VCPOUEST-026;LEV6737-0;;
ME10A_MERIGNAC;Bordeaux;ME10A;ME10B;ME10C;;;;ME99-VCPOUEST-029;LEV7505-0;;
MI01A_MIOS;Bassin d'Arcachon;MI01A;;;;;;NCI5-VCPDEPOT-014;LEV212835-0;;
MJ01A_MARTIGNAS SUR JALLE;Bordeaux;MJ01A;;;;;;ME99-VCPNORD-031;LEV7064-0;;
PA01A_PAREMPUYRE;Bordeaux;PA01A;;;;;;ME99-VCPNORD-024;LEV7816-0;;OUI
PE01A_PESSAC;Bordeaux;PE01A;;;;;;ME99-VCPOUEST-010;LEV7312-0;20/02/2026 15:00;
PE02A_PESSAC;Bordeaux;PE02A;PE02B;PE02C;;;;ME99-VCPOUEST-035;LEV231729-0;;
ME01A_MERIGNAC;Bordeaux;ME01A;;;;;;ME99-VCPOUEST-035;LEV231729-0;;
PE03A_PESSAC;Bordeaux;PE03A;PE03B;PE03C;;;;ME99-VCPOUEST-036;LEV6798-0;;
PE04A_PESSAC;Bordeaux;PE04A;;;;;;ME99-VCPOUEST-039;LEV7891-0;;
PE05A_PESSAC;Bordeaux;PE05A;PE05B;PE05C;;;;ME99-VCPOUEST-042;LEV6816-0;;
PE06A_PESSAC;Bordeaux;PE06A;PE06B;;;;;ME99-VCPOUEST-036;LEV6798-0;;
PE07A_PESSAC;Bordeaux;PE07A;PE07B;;;;;ME99-VCPOUEST-046;LEV226318-0;;OUI
PE08A_PESSAC;Bordeaux;PE08A;;;;;;ME99-VCPOUEST-048;LEV203668-0;;OUI
PE09A_PESSAC;Bordeaux;PE09A;;;;;;ME99-VCPOUEST-049;LEV7492-0;;
PE10A_PESSAC;Bordeaux;PE10A;;;;;;ME99-VCPOUEST-051;LEV6578-0;;
PY01A_PYLA;Bassin d'Arcachon;PY01A;;;;;;NCI5-VCPDEPOT-009;LEV6640-1;07/01/2026 10:08;
SA01A_SAINT AUBIN;Bordeaux;SA01A;SA01B;SA01C;;;;ME99-VCPNORD-025;LEV430434-0;;
SE01A_SAINTE EULALIE;Entre deux Mers;SE01B;SE01A;;;;;NCI1-VCP-006;LEV340251-0;;
SG01A_MARTILLAC;Sud Gironde;SG01A;SG01B;;;;;BE99-VCPBE-217;LEV3225-0;;
SG02A_LEOGNAN;Sud Gironde;SG02A;;;;;;BE99-VCPBE-208;LEV389539-0;;
SG03A_MARTILLAC;Sud Gironde;SG03A;SG03B;SG03C;;;;BE99-VCPBE-217;LEV3225-0;;
SG04A_LEOGNAN;Sud Gironde;SG04A;SG04B;;;;;BE99-VCPBE-222;LEV2555-0;;
SJ01A_SAINT JEAN D ILLAC;Bordeaux;SJ01A;;;;;;ME99-VCPOUEST-053;LEV6473-0;06/01/2026 09:25;
SL01A_SALLES;Bassin d'Arcachon;SL01A;;;;;;NCI5-VCPDEPOT-015;LEV585924-0;;
SM02A_SAINT MEDARD;Bordeaux;SM02A;SM02B;;;;;ME99-VCPOUEST-020;LEV473040-0;;
SM03A_SAINT MEDARD;Bordeaux;SM03A;SM03B;SM03C;;;;ME99-VCPNORD-028;LEV430434-0;;
SM04A_SAINT MEDARD;Bordeaux;SM04A;SM04B;SM04C;;;;ME99-VCPNORD-030;LEV33659-0;05/03/2026 13:03;
SM05A_SAINT MEDARD;Bordeaux;SM05A;SM05B;SM05C;;;;ME99-VCPNORD-030;LEV33659-0;;
TAL1A_TALENCE;Bordeaux;TAL1A;TAL1B;;;;;BE99-VCPBE-226;LEV354050-0;;
TAL3A_TALENCE;Bordeaux;TAL3A;;;;;;BE99-VCPBE-232;LEV3071-0;;
TAL4A_TALENCE;Bordeaux;TAL4A;TAL4B;;;;;BE99-VCPBE-241;LEV214691-0;;
TAL5A_TALENCE;Bordeaux;TAL5A;;;;;;BE99-VCPBE-241;LEV214691-0;;
TAL6A_TALENCE;Bordeaux;TAL6A;;;;;;BE99-VCPBE-237;LEV3155-0;;
TB02A_LA TESTE;Bassin d'Arcachon;TB02A;;;;;;NCI5-025;LEV7638-0;;
TH02A_LE TEICH;Bassin d'Arcachon;TH02A;;;;;;NCI5-006;LEV585924-0;;OUI
VO02A_VILLENAVE D ORNON;Bordeaux;VO02B;;;;;;BE06-VCP-017;LEV1805-0;;
VO03A_VILLENAVE D ORNON;Bordeaux;VO03A;VO03B;;;;;BE06-VCP-017;LEV1805-0;;
VO04A_VILLENAVE D ORNON;Bordeaux;VO04A;;;;;;BE99-VCPBE-249;LEV204228-0;;
VO05A_VILLENAVE D ORNON;Bordeaux;BE01B;VO02A;VO05A;VO05B;VO05C;;BE99-VCPBE-252;LEV1774-0;;
VO06A_VILLENAVE D ORNON;Bordeaux;VO06A;VO06B;;;;;BE99-VCPBE-257;LEV2229-0;;
VO07A_VILLENAVE D ORNON;Bordeaux;VO07A;VO07B;;;;;BE99-VCPBE-261;LEV333886-0;;
VO08A_VILLENAVE D ORNON;Bordeaux;VO08A;;;;;;BE99-VCPBE-222;LEV229089-0;;
